species,complex,accession
Mycobacterium sp001667075,M. scrofulaceum group,GCF_001667075.1
Mycobacterium sp001667145,M. avium complex,GCF_001667145.1
Mycobacterium sp001667275,M. scrofulaceum group,GCF_001667275.1
Mycobacterium sp001667315,M. avium complex,GCF_001667315.1
Mycobacterium sp001667585,M. scrofulaceum group,GCF_001667585.1
Mycobacterium sp001667665,M. scrofulaceum group,GCF_001667665.1
Mycobacterium sp001667735,M. scrofulaceum group,GCF_001667735.1
Mycobacterium sp001667775,M. scrofulaceum group,GCF_001667775.1
Mycobacterium sp001667925,M. avium complex,GCF_001667925.1
Mycobacterium sp001668625,M. triviale group,GCF_001668625.1
Mycobacterium sp001672975,M. avium complex,GCF_001672975.1
Mycobacterium sp001673555,M. avium complex,GCF_001673555.1
Mycobacterium sp001953975,M. fortuitum complex,GCF_001953975.1
Mycobacterium sp001954135,M. fortuitum complex,GCF_001954135.1
Mycobacterium sp002013375,M. chelonae-abscessus complex,GCF_002013375.1
Mycobacterium sp002013415,M. chelonae-abscessus complex,GCA_002013415.1
Mycobacterium sp002013465,M. chelonae-abscessus complex,GCA_002013465.1
Mycobacterium sp002013775,M. chelonae-abscessus complex,GCA_002013775.1
Mycobacterium sp003402475,M. celatum group,GCF_003402475.1
Mycobacterium sp004298145,M. avium complex,GCF_004298145.1
Mycobacterium sp004762045,M. fortuitum complex,GCF_004762045.1
Mycobacterium sp009729095,M. fortuitum complex,GCF_009729095.1
Mycobacterium sp009729205,M. chelonae-abscessus complex,GCF_009729205.1
Mycobacterium sp011745145,M. fortuitum complex,GCF_011745145.1
Mycobacterium sp013449725,M. chelonae-abscessus complex,GCF_013449725.1
Mycobacterium sp020217485,M. avium complex,GCF_020217485.1
Mycobacterium sp025263485,M. scrofulaceum group,GCF_025263485.1
Mycobacterium sp025933915,M. avium complex,GCF_025933915.1
Mycobacterium sp026625985,M. simiae complex,GCF_026625985.1
Mycobacterium sp026723865,M. simiae complex,GCF_026723865.1
Mycobacterium sp030486405,M. fortuitum complex,GCF_030486405.1
Mycobacterium sp035617725,M. avium complex,GCF_035617725.1
Mycobacterium sp035716165,M. avium complex,GCA_035716165.1
Mycobacterium sp035996225,M. simiae complex,GCA_035996225.1
Mycobacterium sp036235365,M. fortuitum complex,GCF_036235365.1
Mycobacterium sp036273375,M. avium complex,GCA_036273375.1
Mycobacterium sp036338755,M. avium complex,GCA_036338755.1
Mycobacterium sp036409155,M. simiae complex,GCF_036409155.1
Mycobacterium sp039023525,M. simiae complex,GCF_039023525.1
Mycobacterium sp040655355,M. fortuitum complex,GCF_040655355.1
Mycobacterium sp040704635,M. fortuitum complex,GCA_040704635.1
Mycobacterium sp041287235,M. simiae complex,GCF_041287235.1
Mycobacterium sp045343915,M. avium complex,GCF_045343915.1
Mycobacterium sp046250075,M. terrae complex,GCF_046250075.1
Mycobacterium sp048282725,M. fortuitum complex,GCF_048282725.1
